Date,Stock,Open,High,Low,Close,Adj Close,Volume,Continent,Country,Year,Year_ISO
2020-01-01,Euro_Stoxx_50,55.639999,56.299999,53.849998,53.880001,53.880001,3469455,Europe,Germany,2020,"2020,DEU"
2020-02-01,Euro_Stoxx_50,54.049999,57.160000,48.654999,49.330002,49.330002,3435373,Europe,Germany,2020,"2020,DEU"
2020-03-01,Euro_Stoxx_50,49.735001,50.889999,34.000000,41.264999,41.264999,7153847,Europe,Germany,2020,"2020,DEU"
2020-04-01,Euro_Stoxx_50,40.084999,44.904999,38.965000,43.509998,43.509998,5155898,Europe,Germany,2020,"2020,DEU"
2020-05-01,Euro_Stoxx_50,43.509998,46.365002,40.459999,45.685001,45.685001,3301790,Europe,Germany,2020,"2020,DEU"
2020-06-01,Euro_Stoxx_50,45.685001,50.799999,45.685001,48.549999,48.549999,3091608,Europe,Germany,2020,"2020,DEU"
2020-07-01,Euro_Stoxx_50,48.264999,52.029999,47.790001,47.790001,47.790001,3976911,Europe,Germany,2020,"2020,DEU"
2020-08-01,Euro_Stoxx_50,48.064999,50.919998,47.880001,49.424999,49.424999,1993902,Europe,Germany,2020,"2020,DEU"
2020-09-01,Euro_Stoxx_50,49.660000,51.250000,46.794998,48.279999,48.279999,2492237,Europe,Germany,2020,"2020,DEU"
2020-10-01,Euro_Stoxx_50,48.485001,49.895000,44.105000,44.669998,44.669998,2865487,Europe,Germany,2020,"2020,DEU"
2020-11-01,Euro_Stoxx_50,44.794998,53.500000,44.619999,52.790001,52.790001,3420080,Europe,Germany,2020,"2020,DEU"
2020-12-01,Euro_Stoxx_50,53.070000,54.430000,51.380001,54.040001,54.040001,3956311,Europe,Germany,2020,"2020,DEU"
2021-01-01,Euro_Stoxx_50,54.040001,55.310001,52.590000,52.680000,52.680000,2912175,Europe,Germany,2021,"2021,DEU"
2021-02-01,Euro_Stoxx_50,53.250000,56.709999,53.139999,55.180000,55.180000,2429750,Europe,Germany,2021,"2021,DEU"
2021-03-01,Euro_Stoxx_50,55.919998,59.639999,55.540001,59.500000,59.500000,7424389,Europe,Germany,2021,"2021,DEU"
2021-04-01,Euro_Stoxx_50,59.700001,61.430000,59.610001,60.560001,60.560001,3534904,Europe,Germany,2021,"2021,DEU"
2021-05-01,Euro_Stoxx_50,60.720001,62.639999,59.180000,62.139999,62.139999,2712952,Europe,Germany,2021,"2021,DEU"
2021-06-01,Euro_Stoxx_50,62.480000,64.019997,62.250000,62.570000,62.570000,2560108,Europe,Germany,2021,"2021,DEU"
2021-07-01,Euro_Stoxx_50,63.070000,63.560001,60.130001,63.009998,63.009998,3101803,Europe,Germany,2021,"2021,DEU"
2021-08-01,Euro_Stoxx_50,63.630001,65.279999,62.939999,64.589996,64.589996,1587706,Europe,Germany,2021,"2021,DEU"
2021-09-01,Euro_Stoxx_50,65.199997,65.500000,61.779999,62.560001,62.560001,3215918,Europe,Germany,2021,"2021,DEU"
2021-10-01,Euro_Stoxx_50,61.599998,65.739998,61.330002,65.739998,65.739998,1347956,Europe,Germany,2021,"2021,DEU"
2021-11-01,Euro_Stoxx_50,66.110001,68.320000,62.419998,63.009998,63.009998,2339970,Europe,Germany,2021,"2021,DEU"
2021-12-01,Euro_Stoxx_50,63.610001,67.029999,62.709999,66.760002,66.760002,2439892,Europe,Germany,2021,"2021,DEU"
2022-01-01,Euro_Stoxx_50,67.139999,68.120003,62.630001,64.750000,64.750000,1859801,Europe,Germany,2022,"2022,DEU"
2022-02-01,Euro_Stoxx_50,65.440002,66.050003,58.490002,60.950001,60.950001,3697889,Europe,Germany,2022,"2022,DEU"
2022-03-01,Euro_Stoxx_50,60.799999,62.500000,52.650002,60.689999,60.689999,3931604,Europe,Germany,2022,"2022,DEU"
2022-04-01,Euro_Stoxx_50,60.740002,61.669998,57.439999,59.520000,59.520000,2540808,Europe,Germany,2022,"2022,DEU"
2022-05-01,Euro_Stoxx_50,58.790001,61.060001,55.549999,60.139999,60.139999,1743860,Europe,Germany,2022,"2022,DEU"
2022-06-01,Euro_Stoxx_50,60.430000,61.160000,54.200001,54.869999,54.869999,1255913,Europe,Germany,2022,"2022,DEU"
2022-07-01,Euro_Stoxx_50,54.130001,59.009998,53.310001,58.970001,58.970001,1034147,Europe,Germany,2022,"2022,DEU"
2022-08-01,Euro_Stoxx_50,58.900002,60.669998,55.959999,55.959999,55.959999,1469252,Europe,Germany,2022,"2022,DEU"
2022-09-01,Euro_Stoxx_50,55.430000,58.549999,51.730000,52.810001,52.810001,1519115,Europe,Germany,2022,"2022,DEU"
2022-10-01,Euro_Stoxx_50,52.180000,57.840000,51.860001,57.689999,57.689999,1455592,Europe,Germany,2022,"2022,DEU"
2022-11-01,Euro_Stoxx_50,58.349998,59.270000,56.830002,59.119999,59.119999,742476,Europe,Germany,2022,"2022,DEU"
2020-01-01,Nikkei_225,23319.759766,24115.949219,22892.949219,23205.179688,23205.179688,1133600000,Asia,Japan,2020,"2020,JPN"
2020-02-01,Nikkei_225,22874.269531,23995.369141,20916.400391,21142.960938,21142.960938,1396200000,Asia,Japan,2020,"2020,JPN"
2020-03-01,Nikkei_225,20849.789063,21719.779297,16358.190430,18917.009766,18917.009766,3101700000,Asia,Japan,2020,"2020,JPN"
2020-04-01,Nikkei_225,18686.119141,20365.890625,17646.500000,20193.689453,20193.689453,1837200000,Asia,Japan,2020,"2020,JPN"
